"","source node","dest node","edge weight"
"577","2009","1010","1.25637951142139e-05"
"578","2025","2009","7.97385915371088e-06"
"579","2026","1028","7.93677628383049e-06"
"580","1010","26","4.15319608753385e-05"
"581","50","18","4.25643626644204e-05"
"582","1005","17","2.25359823434512e-05"
"583","1029","1013","7.0092658927494e-06"
"584","2002","58","7.41515002982781e-05"
"585","1033","1005","2.52042850375364e-05"
"586","2013","1010","1.4911124703829e-05"
"587","2013","52","1.82943503576997e-05"
"588","1013","13","1.83006923841237e-05"
"589","2023","50","2.98524224932582e-05"
"590","2010","58","5.44892973093762e-05"
"591","1034","1025","1.51219143393637e-05"
"592","2002","1026","3.9211977581085e-05"
"593","2026","1002","5.04042802268188e-05"
"594","1010","51","3.10611242428082e-05"
"595","1026","51","3.34606643085064e-05"
"596","2025","2007","9.60269516015867e-06"
"597","2027","2015","7.31875281096176e-06"
"598","2031","2024","8.4848790127899e-06"
"599","2033","2021","2.97611484044754e-05"
"600","2023","1002","4.10272365924319e-05"
"601","1033","53","3.86005674298556e-05"
"602","2020","1028","9.01980985279024e-06"
"603","2005","1010","2.60895146477472e-05"
"604","2025","1011","8.39697420481784e-06"
"605","1025","1011","8.7173273621467e-06"
"606","2009","17","1.615267651975e-05"
"607","18","11","5.21453713583535e-05"
"608","2030","1033","1.72878770747698e-05"
"609","2033","17","4.44997803603131e-05"
"610","1029","17","1.11111514891555e-05"
"611","2007","1025","1.10619209600919e-05"
"612","2028","1020","9.06498342416645e-06"
"613","1014","58","4.32722857139946e-05"
"614","2021","1029","1.04204155853996e-05"
"615","2012","49","2.54015457606617e-05"
"616","1017","50","3.26642458588259e-05"
"617","2007","1029","8.96577076093923e-06"
"618","1011","10","1.44526361857488e-05"
"619","1015","10","1.96479407649151e-05"
"620","2035","2001","2.94175035971383e-05"
"621","1017","12","3.26270462175261e-05"
"622","1017","49","3.41494818132412e-05"
"623","2024","1025","9.94468105225664e-06"
"624","1019","1014","3.6552807470756e-05"
"625","2016","2009","1.94396096977674e-05"
"626","1009","1006","2.660469377854e-05"
"627","51","17","4.23734362596062e-05"
"628","2030","1010","1.88382389107311e-05"
"629","58","11","7.89472652616982e-05"
"630","1034","1022","2.10737322021558e-05"
"631","1010","1008","2.28959690075684e-05"
"632","1017","1002","5.11320182681484e-05"
"633","1020","1014","3.52158193604786e-05"
"634","2028","2008","9.01822718923998e-06"
"635","2011","1005","1.77540886024179e-05"
"636","17","12","5.02321562932351e-05"
"637","2035","2011","1.76233703046105e-05"
"638","2016","54","8.66702935578928e-05"
